a cappella,avb/adj,singing
capitate bone,n,headbone
capricious,adj,fickle
capsize,vb,keel
captain,n,headman
caption,n,underwrit 
captivate,vb,wile
captivity,n,trap
capture,vb,nail
capybara,n,waterhog
car,n,wain
caravan,n,tradewagon
carbon,n,coalshaft
carbon dioxide,n,wortloft
carburator,n,forelofter
carcass,n,bones
card,n,sheet
cardboard,n,headboard
cardiac arrest,n,heartstop
cardinal,n,bird
cardiologist,n,heartleech
career,n,calling
caress,vb,fondle
cargo,n,draft
cargo ship,n,freighter
caribou,n,reindeer
carnal,adj,fleshly
carnation,n,nailling
carnivore,n,meateater
carouse,vb,birl
carousel,n,merry-wendmerry-go-about 
carpal bone,n,wristbone
carpenter,n,woodworker
carpentry,n,wödkraft
carpet,n,stepcloth
carriage,n,bearing
carrot,n,more
carry,vb,bear
cartilage,n,grissel
cartilaginous fish,n,grisselfishcrackbonefish 
cartouche,n,deckwrit
cartridge,n,bag
case,n,hull
cashew,n,kidneyapple
cashewnut,n,kidneynut
casing,n,shell
casino,n,bethall
cast away,vb,anbewarp 
castle,n,burg
castrate,vb,geld
casual,adj,breezy
catalog/catalogue,n,list
catapult,n,gunne 
catch,vb,snare
catechism,n,frodleering 
catechize,vb,grill
categorize,vb,fade 
caterpillar,n,cawlworm 
cathedral,n,headchurch
catheter,n,leat
cathode,n,downway
catholic,adj,broadchurch
catkin,n,bloomtail
cattle,n,cows
cauldron,n,kettle
cauliflower,n,bloomcole
cause,n,bring-about
cause,vb,beget
caustic,adj,burning
cautery,n,tharm tool
caution,n,wariness
cautious,adj,Chary 
cavalier,n,horseman
cavalry,n,horsemen
cave,n,hidles 
caviar,n,stoorroe 
cavil,vb,carp
cavity,n,dint
cease,vb,stop
ceasefire,n,truce
cecograph,n,blindwriter
cede,vb,yield
cedilla,n,zedling
ceiling,n,firstroof
celebrate,vb,frealse 
celebration,n,frealsing
celery,n,fenroot
celestial,adj,heavenly
celestial bow,n,rainbow
celestial sphere,n,rother 
cell,n,hole
cell division,n,frumcleaving
cellar,n,clove 
cellulose,n,treestand
Celtic,adj,Celtish
cemetery,n,graveyard
censorship,n,cleaning
censure,vb,chide
census,n,tale
cent,n,penny
centaur,n,horsemennish 
centimeter,n,hundredthmete
centipede,n,thousandfoot 
central,adj,location
centurion,n,hundfrea 
century,n,yearhundred
cereal,n,morningcorn 
cerium,n,walkirryshaft
certain,adj,wis
certainty,n,wishood 
certificate,n,beshining 
cerulean,adj,swail blue
cerumen,n,earwax
chain,n,shackle
chair,n,seat
chaise-longue,n,longseat
chalice,n,bowl
chalk,n,limestone
challenge,vb,knot
challenge,n,knot
chamber,n,room
chameleon/chamaeleon,n,fayingask 
chance,n,luck
channel,n,fairway
chaos,n,mess
Charlemagne,n,Carl/Charles the Great
character,n,clay
chard,n,Fow-leaf
charged,adj,owing
charitable,adj,kind
charity,n,help
charlatan,n,swindler
charm,n,spell
charming,adj,friendly
charter,n,rightsledging
chase,vb,hotfoot
chastise,vb,chew out
chauffeur,n,driver
check,vb,oversoothe 
cheer,n,glee
cheer,vb,gladden
cheese,n,milkcurd
chef d'oeuvre,n,masterwork
chemistry,n,blendlore
cherish,vb,hold dear
cherry,n,chirsh 
chic,adj,fancy
chief,n,ringleader
chieftain,n,heretough 
chikungunya,n,upbend driff
chili,n,hotcride
chimpanzee,n,mockman 
China,n,Midric 
Chinese Characters,n,midricrunes/-rouns 
chivalrous,n,big
chivalry,n,knightliness
chlorine,n,bleachshaft
chlorophyll,n,leafgreen
chocolate milk,n,muckeatsmilk
choice,n,choosing
cholesterol,n,gallvat
chrestomathy,n,nuttlecouthness 
Christian,adj,Christen
Christian,n,Christen
Christianity,n,Christendom
Christmas,n,Yule
chromosome,n,lifepith
chromatid,n,lifepithhalf
chromium,n,hueshaft
chronicle,n,ledger
chronology,n,timeline
chrysanthemum,n,goldbloom
cider,n,apple wine
cigar,n,smoke
cigarette,n,smoke
cinema,n,bilths
cinquefoil,n,fiffinger
cipher,n,dern
circle,n,ring
circuit,n,ringway
circulate,vb,flow
circulation,n,flow
circulatory system,n,bloodstream
circumcise,vb,cut
circumference,n,rim
circumflex,n,stavehat
circumnavigate,vb,umship 
circumspect,adj,careful
circumstance,n,doom
circumvent,vb,shortcut
circus,n,big top
cirrocumulus,n,curlcloud
citizen,n,townsman
citizenship,n,boroughership 
citroen,n,sourapple
city,n,stead
civet cat,n,slipcat
civil,adj,folk
civil law,n,folklaw
civilian,n,meanfolk
civility,n,hoveliness
clade,n,bough 
cladogram,n,boughbilth
clairvoyance,n,throughsight
claim,n,call
clamor,n,din
clan,n,body
clarify,vb,shed light on
class,n,fack 
classic,adj,token
classical,adj,tokenlymusic
classification,n,tagging
classify,vb,tag
claustrophobia,n,narrowfear
clavicle,n,keybone 
clearing,n,glade
clergy,n,church
clergyman,n,churchman
climate,n,loftlay 
cloaca,n,cloäke
clock,n,timer
clockwise,adj,sunwise
close,vb,shut
close,adj,near
coagulate,vb,clot
coalition,n,block 
coast,n,shore
coastline,n,shoreline
coat of arms,n,kinshield
cobalt,n,puckshaft
cocaine,n,slangs
coccyx,n,tailbone
cochlea,n,hearsnail 
cockroach,n,shave 
coconut,n,skulnut 
code,n,dern
coffer,n,hoardvat 
coffin,n,through 
cognate,n,kinword
cognizant,adj,aware
cohabit,vb,live together
coherence,n,weenness
coin,n,mint 
coincide,vb,inbefall
coincidence,n,happen-so 
coitus,n,swiving
cojones,n,balls
colic,n,bellyharm
colleague,vb,workmate
collect,vb,gather
collection,n,gathering
colonize,vb,settle
colony,n,settling
column,n,upright
combat,n,fight
combination,n,binding
combine,vb,bind
comedian,n,funnyman
comedy,n,funplay
comet,n,shooting star
comfort,n,fastness
comfort,vb,strengthen
comfortable,adj,soft
comestible,adj,eating
comic,n,strip
comic,adj,funny
command,n,behest
command,vb,bid
commander,n,head
commandment,n,behest
commemorate,vb,mind
commemoration,n,minding
commence,vb,begin
commensurate,adj,fitting
comment,n,bemark
commentary,n,input
commenting,n,bemarking
commerce,n,business
commercial,n,businesswise
commit,vb,do
common,adj,shared
commonwealth,n,meanwealth
commotion,n,unrest
