a cappella,avb/adj,singing
mosaic,n,shardbild
moscovium,n,moscowshaft
mosquito,n,gnat
motion,n,shrithing
motionless,adj,stock-still
motive,n,rethe
motor,n,wheels
motorboat,n,speedboat
motorcycle,n,halfwain
motorway,n,highway
motto,n,saying
mound,n,drift
mount,n,hill
mounted,adj,on horseback
mountain,n,barrow
moustache,n,kemp
move,vb,shift
movement,n,shift
movie,n,film
mucus,n,slime
muffle,vb,shroud
multiculturalism,n,felemenning 
multiple,adj,many
multiply,vb,manifold
multi-language word,n,wanderword
multi-purpose,adj,all-in-one
multitude,n,crowd
mummy,n,linwrapped body
municipality,n,meanth 
muscle,n,brawn
muscular,n,brawny
muse,vb,mimmer/mammer
museum,n,crafthall
mushroom,n,toadstool
music,n,glee
musician,n,gleeman
musicology,n,soonlore
musket,n,gun
mustard,n,sennep 
mussel,n,ran 
mutate,vb,shapeshift
mute,adj,dumb
mutton,n,sheepflesh
mutual,adj,evenway
mycelium,n,net 
myopia,n,near
mystery,n,wonder
myth,n,misth 
mythology,n,folklore
nadir,n,depths
naive,adj,craftless
nano-technology,n,smart dust
narcolepsy,n,sleepsickness
narrate,vb,yarn
narration,n,telling
narrative,n,tale
nasal,adj,nosely
nasal bone,n,nosely bone
natatorium,n,swimming pool
nation,n,folk
national,adj,theedish
nationalism,n,theedlief
native,n,towner
native,adj,homely
natural,adj,kindful
natural logarithm,n,infold 
natural selection,n,drain of life
naturality,n,kindliness
naturally,n,smoothly
nature,n,kind
naturism,n,barelife
naturists,n,barefolk
nausea,n,sickness
nauseous,n,sickening
navigate,vb,guide
navigation,n,watercraft
Neanderthal,n,Newmandale 
nebula,n,starcloud
necessary,adj,needful
necessitate,vb,need
necessity,n,need
necklace,n,-neckband
necrology,n,gravelore
necromancy,n,witchcraft
necrophage,n,licheater
necrophagy,n,licheating
necrophilia,n,lichlust
nectar,n,honeyor
negate,vb,gainsay
negative,adj,naysaying
neglect,n,seediness
neglect,vb,forget
negligent,vb,heedless
negotiate,vb,moot
neocortex,n,brain bark
neodymium,n,newtwinshaft
Neolithic,n,New Stone Eld
neon,n,newshaft
neophyte,n,greenhorn
nepenthe,n,unmourner
nephew,n,neve
nephrologist,n,kidneyleech
neptunium,n,wadeshaft
nerve,n,mettle
neurologist,n,brainleech
neurose,n,sinewsweet
neurotransmitter,n,sinew sender
neutral,adj,unsided
neutrality,n,unsidedness
neutrino,n,neitherling
neutron,n,neitherbit
newspaper,n,tiding
nice,adj,kind
Nickelodeon,n,Nickelshowbox 
niche,n,nook
niece,n,nift
Niflheim,n,Mistworld
nihilism,n,wearning 
nihonium,n,nihonshaft
niobium,n,niobeshaft
Níðhöggr,n,Nithehewer
nitrogen,n,stickshaft 
Nizhny Novgorod,n,Nether Newton
nobelium,n,nobelshaft
nobility,n,atheldom 
nocturnal,adj,nightly
nocturne,n,night-swey
noise,n,din
noisy,adj,loud
nominate,vb,call
non obstante,n,-notwithstanding
non-existent,adj,beingless
nonsense,n,rubbish
noose,n,hangknot
norm,n,rightline
normal,adj,right
nostalgia,n,yesterlove
notable,adj,bright
notary public,n,logbookande 
note,n,log 
notice,vb,heed 
noticeable,adj,striking
noting,vb,heeding
noun,n,nameword
nourish,vb,feed
novel,n,talebook
novelty,n,newness
November,n,Fogmonth
novice,n,newling
nubile,adj,wedworthy
nuclear bomb,n,kernelblaster
nuclear reactor,n,kerneloven 
nuclear weapon,n,kernelweapon
nucleon,n,pithmote
nucleus,n,kernel
nugget,n,lumplingnugling 
nuisance,n,hindering
null,adj,naught
nullify,vb,naughten
number,n,rime
number,vb,mark
numerator,n,teller 
numerological,adj,rimlore-
numerous,adj,many
nurse,vb,care
nurse,n,carer
nursery,n,kindergrove
nurture,vb,breed
nutritional value,n,wholesome worth
nutritious,adj,feeding
oasis,n,win 
obedient,adj,hearsome
obedience,n,hearsomeness
obelisk,n,needle
obese,adj,full
obey,vb,heed
obfuscate,vb,becloud
object,n,ware
objection,n,gripe
objectionable,adj,frainworthy
objectivity,n,open-mindedness
obligate,vb,bind
obligation,n,binding
obliged,adj,bound
oblique,adj,slanting
oblivion,n,forgetfulness
oblivious,adj,clueless
obscene,adj,foul
obscure,vb,darken
obscure,adj,thester
obsequious,adj,cringing
observant,adj,awake
observe,vb,follow
observer,n,witness
obsess,vb,grip
obsessive compulsive disorder,n,brainlock
obsidian,n,ravenflint 
obsolete,adj,outworn
obstacle,n,block
obstetrician,n,birthleech
obstetrics,n,birthhelp 
obstinate,adj,headstrong
obstruct,vb,block
obstruction,n,hindering
obtain,vb,get
obvious,adj,straightforward
Odin,n,Weden
occasion,n,time
occasional,adj,here and far between
occipital bone,n,skullend
occupied,adj,busy
occupy,vb,beset 
occur,vb,befall
occurrence,n,befall
ocean,n,mere
octagon,n,eightside
October,n,Winterfulth
octopus,n,armfish
ode,n,song
odds,n,likelihood
odour,n,smell
oenophilia,n,winelust
oesophagus,n,kiteway
offend,vb,smite
offensive,adj,loath
offering,n,gift
office,n,ambight 
officer,n,beadle
oil,n,eal
ointment,n,salve
okay,adj,all right
old fashioned,adj,stick-in-the-mud
Old Testament,n,Old Bond
oleaginous,adj,fatty
olfactory,adj,smell
omen,n,boding
ominous,adj,doomy
omit,vb,leave out
omnipotent,adj,almighty
omniscient,adj,all-knowing
oncologist,n,cankerleech
onomatopoeia,n,hearword
onion,n,ramson
opera,n,singplay
operate,vb,work
operation,n,medical
ophthalmologist,n,eyeleech
opinion,n,thought
opossum,n,whitedeer 
opponent,n,witherling
opportune,adj,timely
opportunity,n,opening
oppose,vb,be against
opposite,n,gainmatch
opposite,adj,withering
opposition,n,withstander
oppressed,adj,downtrodden
oppress,vb,tread down
oppression,n,nithe
obrium,n,shame
optimum,adj,best
optimism,n,yaysaying
optimist,n,yaysayer
optional,adj,can be waled
oracle,n,godspeaker 
oral,adj,uttered
orange,adj,fall
orange,n,eastern apple
orangutan,n,rutherwereredape
oratory,n,outswettling
orca,n,killer whale
orchestra,n,swaygathering
orchid,n,ballockwort 
ordain,vb,doom
order,n,setup
order,vb,bespeak
orderly,adj,smooth
ordination,n,hoding 
organ,n,book
organization,n,board
organize,vb,tidy 
oriental,adj,eastern
orifice,n,hole
origin,n,root
original,adj,ere-
original,n,ere-
originate,vb,stem
ornament,n,dizen
ornament,vb,bedeck
ornamentation,n,setoff
ornithology,n,birdlore
orphan,n,sunderling
orthodox,adj,mainstream
orthodoxy,n,lorespell
orthography,n,rightspelling 
osmium,n,smellshaft
osprey,n,seahawk
ossicle,n,earbone
osteologist,n,boneleech
osteology,n,bonelore
osteoporosis,n,bone brittling
ostrich,n,strutter 
outcry,n,uproar
outdated,n,outworn
outmanoeuvre,vb,outsmart
outperform,vb,outdo
oval,n,eggshape
overbalance,vb,slip
overcharge,vb,overload
overdue,adj,overowed
overemphasize,vb,overplay
ovum,n,eggling
oxygen,n,sourshaft
oxymoron,n,sharpdull 
oyster,n,clam
pabulum,n,fodder
pacifier,n,soother
pacifist,n,dove
package,n,wrapping
paddle,n,oar
paediatrician,n,childleech
paedophile,n,childluster
paedophilia,n,childlust
pagan,n,heathen
paganism,n,heathendom
page,n,side
pacify,vb,allay
pain,n,smart
painful,adj,acheful
paint,n,dye
paint,vb,mete 
painting,n,meting 
pair,n,twain
palace,n,hall
palate,n,roof of the mouth
palatine bone,n,gums
pale,adj,bleach
pale,n,wall
paleography,n,old writing
paleolithic,adj,ur-/orstonely
paleontology,n,ur/orwightlore
palindrome,n,crabword
palisade,n,stakehedge
palladium,n,pallasshaft
palliate,vb,whitewash
pallid,adj,ashen
palmtree,n,folmtree
palmary,adj,heriworthy
palpitate,vb,throb
pamphlet,n,flyer
panacea,n,heal-all
pancreas,n,sweet kernel
panda bear,n,greater
pandemonium,n,hexkettle 
panel,n,shield
Pangaea,n,Alland 
pangolin,n,shaledeer 
panic,n,fright
panorama,n,allsight
Panthalassa,n,Allsea 
papaya,n,blasterapple 
paper,n,leaf
papier-mâché,n,sheetmash
parable,n,likeness
parachute,n,fallward 
paraclete,n,forverghost 
paradise,n,fairgarden
paradisiacal,adj,heavenly
parallel,adj,alongside
parallelogram,n,sides alongside
paramour,n,lover
paranoia,n,great fear
paranoid,n,mad misgiver
paranormal,adj,witchcraft
paranthesis,n,inputmark
parasite,n,bloodsucker
parasitism,n,bloodsucking
parasol,n,sunshade
parchment,n,bookfell
parent,n,elder
parenting,n,elderhood
parenthesis,n,breeches
parents,n,elders
pariah,n,outcast
parietal bone,n,skullwall
parish,n,bedeshire
park,n,ersh 
parliament,n,witenmoot 
parrot,n,bleefowl
parsimonious,adj,mean
parsley,n,crispleaf
part,n,deal
part,vb,split
partake,vb,have
partial,n,some
participate,vb,do with
participation,n,dealnimhood
participant,n,dealnimmer
participle,n,dealnimmand 
particle,n,mote
partition,n,wall
parturition,n,childbirth
party,n,gathering
parvenu,n,upstart
pascal,adj,tholing
pass,vb,overtake
passage,n,path
passage of time,n,flow of time
passenger,n,faregoer
passion,n,love
passive,adj,idle
passport,n,wayleave
pasta,n,noodle
pasture,n,grassland
patella,n,kneecap
paternal,adj,fatherly
Paternoster,n,Our Father
pathetic,adj,rueful
pathos,n,sadness
patience,n,forbearing
patient,adj,forbearing
patria,n,homeland
patriarch,n,elder
patriarchy,n,fatherwield
patrician,n,highholder 
patricide,n,fatherslaughter
patrimony,n,fathersland
patriotic,n,home-loving
patriotism,n,home-love
patron,n,backer
patronage,n,business
pattern,n,cut
pause,n,break
paucity,n,lack
pavement,n,sidewalk
pay,vb,yield
payment,n,fee
peace,n,frith
peaceful,adj,dovish
peach,n,perseapple 
peal,vb,ring
pearl,n,seahurst
peasant,n,churl
peasant farmer,n,bour 
peculation,n,thefting
peculiar,adj,freak
pedagogue,n,teacher
pedal,n,treadle
pedal,adj,foot
pedestal,n,footstone 
pedestrian,n,walker
pediatrician,n,childleech
peel,n,husk
peel,vb,rend
pegasus,n,winged horse
pejorative,adj,slighting
pelican,n,wanfoot
pellucid,adj,unclouded
pelt,n,fell
pen,n,marker
penance,n,bote
penchant,n,leaning
pencil,n,stick
penetrate,vb,breach
peninsula,n,neck of land
pentagon,n,fiveside
Pentecost,n,Whitsunday
penultimate,adj,last-but-one
penis,n,pizzle
penitence,n,rueness 
penurious,adj,stingy
people,n,folk
pepperoni,n,croudedswineflesh
perceive,vb,wit
percent,n,hundredth
percentage,n,hundredmeal
perception,n,insight
percolate,vb,leach
perdition,vb,forelornness
peregrine falcon,n,duck hawk
perfect,adj,flawless
perfect,vb,hone
perfidious,adj,forsworn
perforate,vb,awl
perform,vb,do forth
perfume,n,duft
perfunctory,adj,halfhearted
perish,vb,waste
perimeter,n,brim
perineum,n,bonch
permanent,adj,everlasting
permafrost,n,everfrost
permission,n,leave
pernicious,adj,baleful
pernio,n,chilblain
perpendicular,adj,athwart
perpetually,adj,ever
perplex,vb,bewilder
persecute,vb,ail
persecution,n,witch hunt
perseverance,n,sticktoitivenesss
persistence,adj,steadfastness
persistent,adj,steadfast
person,n,leed
personal,adj,selfly
personality,n,egg
personnel,n,staff
perspective,n,outlook
perspicacious,adj,insightful
perspicacity,n,insightfulness
persuade,vb,bring
pursue,vb,followa new path
pertinacious,adj,headstrong
peruse,vb,look through
pervade,vb,wade 
perverse,adj,overthwart
pervert,n,lewdster 
pervert,vb,twist
pet-name,n,nickname
petrify,vb,stun 
petroleum,n,black gold
petticoat,n,smallpode 
petulant,adj,sour
pessimism,n,naysaying
pessimistic,adj,downbeat
phantasm,n,dream
phantom,n,ghost
phalanx,n,speerlining
pharaoh,n,king 
Pharisee,n,faker
pharynx,n,retch 
pheasant,n,wildhen 
phenomenal,adj,outstanding
phenomenon,n,happening
Philippines,n,Philipsland
philistine,adj,uncouth
philological,adj,speechwritlorish
philology,n,speechwritlore
philosophy,n,wisdom
phimosis,n,throttling
phlebotomy,n,bloodletting
phloem tube,n,wortrowel
phobia,n,fear
phobic,adj,fearful
phoenix,n,firefowl
phonetic,adj,dinly
phonological,adj,loudlorish
phonology,n,reardwork
phosphorescent,adj,lightshedding
phosphorus,n,blikeshaft
photograph,n,shot
photography,n,lightshooting
photon,n,lightmote
phrase,n,wordstring
phylum,n,stem
physiatrist,n,backleech
physics,n,worldken
physical,adj,bodily
physician,n,leech
pickaxe,n,pike
picture,n,likeness
picturesque,adj,fair
pie,n,bake
piece,n,bit
pier,n,landing
pierce,vb,bore
pigeon,n,dove
pile,n,heap
pillage,vb,sack
pillar,n,mast
pilot,n,lodeman
pilot whale,n,grindwhale 
pimple,n,wheal
piñata,n,wonderbag 
piña colada,n,mashed firapple 
pinch,vb,nip
pine,n,fir
pineapple,n,firapple 
pinecone,n,firtap 
pioneer,n,groundbreaker
pioneering,adj,groundbreaking
pious,adj,godly
pip,n,seed
pipe,n,leat
pirate,n,seareaver
pirate captain,n,highseareaver
pisiform bone,n,peabone
pistol,n,handgun
piston,n,sucker 
pity,n,shame
pivotal,adj,key
pixel,n,dot
pizza,n,firecake
place,vb,lay
place,n,spot
placenta,n,afterbirth
plagiarism,n,thought-theft
plague,n,outbreak
plan,vb,forethink
plan,n,layout
plank,n,board
plankton,n,drifter moss
planning,n,frame
planet,n,tungle
plant,n,wort
plant,vb,sow
planted,adj,besowen
plantation,n,farmstead
plasma,n,state of matter
plastic,n,newclay
plateau,n,dish
plate of metal,n,clout 
platform,n,deck
platinum,n,whitegold
platitude,n,hackneyed saying
platypus,n,watermole
pleasant,adj,blessed
please,vb,gladden
pleased,adj,blissful
pleasing,adj,grateful
pleasure,n,lust
plebiscite,n,folkfrain
plectrum,n,pick
pledge,n,plight
pledge,vb,swear
plentiful,adj,rife
plethora,n,overflow
plumage,n,feathers
plumber,n,leatfitter
plumbing,n,leadwork
plumbline,n,wall-thread 
plunder,vb,stroud 
plunge,vb,dip
plural,adj,morefold
plutocracy,n,gelddom
plutonium,n,hellshaft
pluvial,adj,rain
pneumatic,adj,of a woman
pneumonoultramicrosco-picsilicovolcanoconosis,n,inbreathedgroundashandsanddustsickness
podiatrist,n,footleech
poem,n,leeth
poet,n,shop
poetry,n,dighting
point,n,tip
pointless,adj,sakeless
poison,n,atter
polar bear,n,ice bear 
polar zone,n,land of the midnight Sun
pole,n,shot 
polecat,n,thummart
police,n,law
policy,n,thew
polite,adj,becoming
political,adj,mootish
politically correct language,n,egg-shell speak
politician,n,lawmaker
politics,n,woldcraft
pollute,vb,foul
polonium,n,poleshaft
poltergeist,n,dinghost
polycephaly,n,manyheadedness
polygamist,n,maniwed
polyglot,n,tonguesmith
polygon,n,manihern
polyhedron,n,manineb
polymorph,n,manishape
polymorphism,n,manishapedom
polytheïsm,n,sundertroth
pomegranate,n,seedapple 
pompous,adj,showy
ponder,vb,wonder
pontoon,n,card game
pony,n,horseling
poor,adj,in need
pope,n,Holy Father
popular,adj,folksy
popularity,n,allthede-love 
populate,vb,befolk 
population,n,folks
population density,n,crowding
populism,n,folks
populist,adj,folksy
populous,adj,crowded
populus assembly,n,folkforsaming
porcelain,n,shiny earthenware
porcine,adj,piggish
porcine,n,pig
porcupine,n,quillpig
pore,n,hole
pork,n,pig
pornography,n,whoreshowing
porous,adj,holey
porpoise,n,mereswine
porridge,n,mush
port,n,harbour
portable,adj,handheld
portmanteau,n,word
portal,n,doorway
portend,vb,bode
portent,n,foretoken
portentous,adj,doomy
portion,n,deal
portrait,n,likeness 
position,n,berth
positive,adj,mathematics
possess,vb,own
possessed,adj,devilsick
possession,n,ownership
possibility,n,likelihood
possible,adj,likely
posterior,n,rump
posteriority,n,afterness
posterity,n,offspring
post-existence,n,afterlife
posthuman,adj,aftermennish
posthumanism,n,aftermandom
postpone,vb,forestall
potassium,n,potashshaft 
potato,n,spud
potential,adj,likely
potential,n,strength
potion,n,tiverdrink 
pouch,n,pung 
poultry,n,fowl
pour,vb,teem
poverty,n,need
power,n,grip
power,vb,drive
power line,n,mains line
powerful,adj,heavy
power supply,n,mains brick
practical,adj,working
pragmatic,adj,hardheaded
praise,n,heriness 
praise,vb,hery 
pram,n,buggy
praseodymium,n,greentwinshaft
prayer,n,bead
prayerful,adj,beadful
preach,vb,athelbid
preacher,n,athelbode 
preamble,n,foreword
precaution,n,forecare
precede,vb,herald
precinct,n,space
precipitation,n,rainfall
precious,adj,dear
preciousness,n,dearworthiness
preclude,vb,forestall
precocious,adj,ahead
precognition,n,foreknowledge
precursor,n,forerunner
predator,n,hunter 
predecessor,n,forerunner
predestination,n,wyrd/weird
predetermine,vb,foredoom
predicament,n,swamp
predict,vb,foretell
prediction,n,foretelling
predominant,adj,overweighing
preëminent,adj,foremost
preëxistence,n,aforeness
prefabricated,adj,ready-made
preface,n,foreword
prefect,n,fyrdenhighshireman
prefer,vb,forechoose
preferable,adj,liever
preference,n,Forechoice
prefigure,vb,foreshadow
prefix,n,forefastening
pregnant,adj,with child
prehistoric,adj,yesteryorely
prehistory,n,yesteryorestudy
prejudge,vb,foredeem
prelude,n,foreword
premature,adj,untimely
premeditated,adj,forethought
premier,adj,foremost
premise,n,given
premonition,n,forefeeling
preoccupy,vb,forebusy
preparation,n,gearing up
prepare,vb,taw
prepared,adj,ready
preposition,n,foreput
prepuce,n,foreskin
prequel,n,forefollow
prerequisite,n,foreneed
prescience,n,foreknowledge
prescient,adj,farseeing
prescribe,vb,lay down
presence,n,sight
present,adj,in
present,n,here and now
present,vb,show
Presentation of the Lord,n,Candlemas
presentiment,n,forefeeling
preserve,vb,forlast
preside,vb,steward
president,n,foresitter 
presque vu,n,nighseen
press,vb,thring
press down,vb,bethryck 
pressure,n,thringmight
presume,vb,foreguess
presumptuous,adj,uppity
presuppose,vb,forettle
pretend,vb,do as if
pretender,n,would-be
pretense,n,put-on
pretentious,adj,showy
prevail,vb,hold up
prevent,vb,hinder
previous,adj,former
prey,n,the
price,n,outlay
pride,n,orgul 
priest,n,hallower 
prima donna,n,leading lady
primacy,n,foremostness
primary,adj,foremost
prime,adj,head
primer,n,futhorc writ
primeval,adj,hoary
prince,n,frim
princess,n,highness
principality,n,frimdom 
principle,n,howing
principle,adj,main
print,vb,thrick 
printing press,n,thrycker
prior,adj,before
priority,n,right-of-way
prism,n,block
prison,n,clink
prisoner,n,inmate
pristine,n,earliest
private,adj,hidden
privilege,n,right
privileged,adj,gifted
privy,n,outhouse
pro,n,craftsman
probability,n,likelihood
probable,adj,likely
probe,vb,prod
probity,n,uprightness
problem,n,trouble
problematic,adj,troublesome
procedure,n,forsetting 
proceed,vb,go forward
proceeding,n,foregoing
process,vb,forework
process,n,foregang 
processor,n,computer
proclivity,n,forelike
procrastinate,vb,forresten
procreäte,vb,beget
procurator,n,highshireman 
procure,vb,beshape 
product,n,ware
productive,n,waresome
prodigy,n,wonderchild
prodigal,adj,spareless
produce,vb,beget
produce,n,handiwork
production,n,yield
productive,adj,forthbear 
proem,n,foreword
professional,adj,skilled
professional,n,worker
professor,n,lorespeaker
profit,n,gain
profitable,adj,worthwhile
proficiency,n,skill
profound,adj,underlying
profusion,n,beteeming
progenitor,n,begetter
program,n,foredraught
progress,n,inroads
progressive,adj,forward
prohibit,vb,forbid
project,n,work
projector,n,beamer
prokaryote,n,forenut
proletariat,n,churls
prolific,adj,fat
prologue,n,foretale
promethium,n,lightbearendshaft
promise,n,behight
promise,vb,behight
promontary,n,headland
promote,vb,uprear
prone,adj,given
pronghorn antelope,n,tinedeer
pronoun,n,byname 
pronounce,vb,say
pronunciation,n,wordway
proof,n,witness
propel,vb,thrust
proper,adj,fitting
proper noun,n,self-name
property,n,ownings
prophesy,vb,foretell
prophecy,n,foresight
prophet,n,seer
proposal,n,forthput
propose,vb,put forth
proprietor,n,householder
propulsion,n,thrust
proscribe,vb,forbid
prosecution,n,forfollowing 
proselyte,n,freshman 
prosopagnosia,n,neb blindness
prosper,vb,thee
prosperity,n,theedom
prosperous,n,frim 
prostitute,vb,whore
prostitute,n,hooker
prostrate,adj,aground
protactinium,n,orbeamshaft
protagonist,n,headfellow 
protarchæopteryx,n,foreorfowl
protect,vb,ward
protection,n,shield
protective,adj,mundly 
protector,n,warden
protégé,n,ward
protein,n,eggwhite 
Protestant,n,witness for Christ
Proto-Germanic,n,Ortheedish
proton,n,erebit
protoplasm,n,ereslime
protrude,vb,stick out
protuberance,n,knob
proud,adj,haughty
prove,vb,show
proverb,n,byword
provide,vb,afford
province,n,landshare
provocation,n,greming 
prow,n,foreship
prudence,n,forewit
prune,n,plum
pruning,n,shredding
Prunus Spinosa,n,blackthorn
Prussia,n,Pruceland
pry,vb, key-hole 2
pseudo-,n,fake
psychedelic,adj,soulkithing
psychiatrist,n,shrink
psychiatry,n,soulkith 
psychic,n,soulsman
psychic,adj,soulish
psychologist,n,shrink
psychology,n,mindlore
psychopath,adj,mindsick
psychotropic/psychoactive,adj,mindwending
pubic bone,n,shamebone
public,n,openlihood 
public,adj,open
public servant,adj,theen
public toilet,n,outhouse
publication,n,uttering
publish,vb,utter 
publisher,n,utterer
pulsate,vb,beat
pulse,n, beat
pumice,n,foamstone
pumpkin,n,marrow
punch,vb,clout
punctuation,n,tokenmark
punish,vb,wreak
punishment,n,wreak
pup,n,whelp
pupil,n,see
puppet,n,cat's paw
purchase,vb,buy
pure,adj,clean
purebred,adj,thoroughbred
Purgatory,n,Sweepfire 
purge,vb,cleanse
purify,vb,cleanse
purple,n,bawse 
purple dye,n,welktallow 
purple martin,n,bawseswallow
purpose,n,sake
pursue,vb,follow
pursuit,n,following
purveyor,n,monger
pus,n,atter
push,vb,shove
pusillanimous,n,weak-minded
pustule,n,pock
putrefaction,n,rot
pygmy,n,dwarf
pyramid,n,fourflat 
pyromania,n,firemadness
pyromaniac,n,firesetter
pyrophobia,n,fireawe
quadrilateral,n,fourhook 
quadrupedal,adj,four-footed
quadruplet,n,fourfoldling
qualification,n,if
qualify,vb,fit
quantity,n,boatload
quarry,n,stonepit
quarter,n,fourth
quartz,n,hardstone 
quay,n,wharf
quest,n,fare
question,n,asking
question,vb,ask
questionable,adj,dodgy
queue,n,row
qui pro quo,phr,misunderstanding
quid pro quo,phr,back-and-forth
quiet,adj,hushed
quieten,vb,lull
quietness,n,stillness
quintessential,adj,swotelsome 
quit,vb,step down
quote,vb,show
quotidian,adj,daily
rabbit,n,hare
raccoon,n,washbear
race,n,kind
radar,n,forereader
radiant,adj,shiny
radiate,vb,shine
radioactive,n,lightrotting
radiotelegraphy,n,broadcasting
radio wave,n,ringwave
radium,n,streelshaft
radius,n,spoke
radon,n,gleamshaft
rage,n,wrath
railroad,n,ironroad
raison d'état,n,theedish intryst 
raison d'être,n,livelihood
rancid,adj,rotting
ranch,n,bou 
random page,n,lucky leaf
range,n,reach
ranger,n,keeper
rank,n,row
rankle,vb,gall
rapid,adj,fast
rappel,vb,offseil
rare,adj,fewsome
rarified,adj,fewsome
rarify,vb,make seldom
rarity,n,seldiness
raspberry,n,hindberry
rate,n,speed
ratio,n,evenness
rational,adj,well-grounded
rationalism,n,anget
ravage,vb,forspill
ravine,n,chine
razor,n,shaver
realise/ realize,vb,wit
real,adj,true
real estate,n,fastgood 
reality,n,being
realm,n,world
reasonable,adj,well-grounded
rebel,n,withstander
rebel,vb,rise up
rebellion,n,outbreak
rebellious,adj,upstandy 
rebuke,vb,threap
recall,vb,withcall
recalcitrant,adj,unhold
recapitulation,n,going over again
receive,vb,get
receipt,n,sales slip
reception,n,welcoming
recite,vb,yarn
recline,vb,lie back
recognise,vb,acknow
recommend,vb,ettle
recompense,n,gainyield
reconsideration,n,afterthought
reconcile,vb,key
reconciliation,n,andweaving
record,n,log
recount,vb,overname
recover,vb,heal
recovery,n,comeback
recreation,n, fun and games
recriminate,vb,threap
recruit,n,fledgling
rectangle,n,righthook 
rectum,n,endtharm 
recurrence,n,comeback
recurrent,adj,on-and-off
redeem,vb,Forbuy
redemption,n,eftleesing 
redo,vb,withdo
reduce,n,lessen
redundance,n,eftflowing 
referee,n,shedsrighter 
reference,n,hint
referendum,n,folkspoll
refined,adj,trim
reflect,vb,show
reflection,n,glance
reflect on,vb,think over
reformer,n,ameeder
refractory,adj,froward
refrain,n,offbreak
refrain,vb,forbear
refrigerator,n,chiller
refuge,n,haven
refugee,n,runaway
refulgent,adj,shining
refurbish,vb,overhaul
refuse,n,chaff
refuse,vb,spurn
refute,vb,belie
regard,vb,cast
regency,n,byredom 
regenerate,adj,freshen
regent,n,byrede 
regicide,n,kingslayer
regime,n,yoke
regiment,n,fight
region,n,field
regret,vb,rue
regular,adj,everyday
regulate,vb,oversee
regulation,n,wielding
regulator,n,overseer
reign,n,kingship
reign,vb,cf
reïnforce,vb,strengthen
rejoice,vb,gladden
rejoice with,vb,driem with
rejuvenate,vb,freshen
relapse,vb,backslide
relatable,adj,kinworthy
related,adj,akin 
relations,n,dealings
relationship,n,kinship
relax,vb,chill 
relaxation,n,fun and games
relaxed,adj,smooth
release,n,outlung
release,vb,free
reliable,adj,trustworthy
relieve,n,lighten
religion,n,troth
religious,adj,worshipful
relinquish,vb,cough up
reluctant,adj,chary
remain,vb,belave
remainder,n,lave
remains,n,ashes
remedy,n,leechdom
remember,vb,hark back
remind,vb,call to mind
reminder,n,edminding
reminisce,vb,eftmind
remnant,n,leftover
remote,adj,slight
remove,vb,foredo 
renaissance,n,edblowing
renal,adj,kidney
rename,vb,edname
render,vb,cough up
renew,vb,overhaul
renewal,n,ednewing
renewed,adj,ednewed
renounce,vb,give up
renovate,vb,overhaul
reorganize,vb,edstight
repair,vb,amend
repartee,n,backchat
repeat,vb,say again
repeater,n,electronics
repel,vb,beat off
repent,vb,bemoan
repercussions,vb,kickback
repetition,n,do-over
replace,vb,swap 
replenish,vb,fill up
report,n,bewriting
repose,n,rest
repository,n,hoard
reprehensible,adj,forwarply 
represent,vb,stand for
representative,n,spokes
repress,vb,crack down on
reprimand,vb,upbraid
reprove,vb,chide
reproach,vb,bawl out
reptile,n,creepdeer
republic,n,ledeward
reputation,n,mark
request,n,call
request,vb,ask
require,vb,need
requirement,n,need
requite,vb,get even for
rescribe,vb,write back
rescue,vb,free
research,n,seeking
research,vb,dig into
resemblance,n,alikeness
resentment,n,down
reservation,n,booking
reserve,n,keep
reserve,vb,book
reserve,adj,spare
reserved,adj,character
reservoir,n,waterberg
reside,vb,live
residence,n,home
residue,n,ashes
resign,vb,step down
resilient,adj,springy
resist,vb,withset
resistance,n,withsetting
resistant,adj,steady
resolute,adj,set
resonate,vb,withswing 
resort,n,vacation
resort,vb,brook
resource,vb,rawshaft
respawn,vb,backbirth
respect,n,heed
respect,vb,aughten 
respectable,adj,aughtworthy
respectful,adj,aughtful 
respond,vb,answer
response,n,answer
responsibility,n,plight
responsible,adj,trustworthy
responsive,adj,quick
restart,vb,edstar
restaurant,n,cheap
restrain,vb,bridle
restraint,n,bridle
restriction,n,betightening
result,n,outcome
resurrect,vb,gainrise 
resurrection,n,gainrising 
retail,vb,deal in
retain,vb,keep
retaliate,vb,hit back
retaliation,n,foryielding 
retard,n,dimwit
retard,vb,break
retardation,n,slowing
retardation,n,backwardness
retina,n,nethide 
retire,vb,withdraw
retirement,n,forleaving
retort,n,yieldback
retract,vb,take back
retreat,vb,withdraw
retrieve,vb,fetch
retrograde,adj,backward
return,n,comeback
return,vb,come back
reveal,vb,bare
revel,vb,bathe
revelation,n,telling
revelry,n,merry-making
revenant,n,andcomer
revenge,vb,yieldback
reverberation,n,withercling
revenge,n,wrack
revenge porn,n,wrackful whoreshowing
revere,vb,worship
reverend,adj,hallowed
reverie,n,daydreaming
reverse/reversal,n,knock
revert,vb,andwharve
revive,vb,freshen
revolution,n,ywhorft 
revolve,vb,spin
reward,n,meed 
reward,vb,meed
rhenium,n,rineshaft
rhetoric,n,wind
rhinoceros,n,nosehorn 
rhodium,n,bloomshaft
rhombus,n,rout 
rhotacism,n,arbrookdom
